,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,8.97,True,False,False,False,False,0,107,6.34,0,False,False,24.36,3,,False,False,False,39.67,Utilities,False,9.05,0,False,EXC
Value,False,False,False,7.31,False,False,False,False,False,0,46,5.12,0,False,False,16.26,0,LAG_PERF,False,False,False,12.84,Transportation,False,3.83,0,False,EXPD
Value,False,False,False,14.42,False,False,False,False,False,0,105,8.9,0,False,False,25.43,2,,False,False,False,43.82,Software & Services,False,2.11,0,False,EXPE
Value,False,False,False,4.28,False,False,False,False,False,0,108,5.86,0,False,False,13.94,1,LAG_PERF,False,False,False,7.74,Real Estate,False,3.81,0,False,EXR
Value,False,False,False,11.34,False,False,False,False,False,0,37,8.96,0,False,False,29.57,3,,False,False,False,59.71,Automobiles,False,9.27,0,False,F
Value,False,False,False,8.66,False,False,False,False,False,0,17,7.05,0,False,False,26.4,2,,False,False,False,47.67,Traders & Distributors,False,10.69,0,False,FAST
Value,False,False,False,21.01,False,False,False,False,False,0,105,10.41,0,False,False,32.44,4,LEAD_PERF,False,False,False,69.64,Software & Services,False,1.02,0,False,FB
Value,False,False,False,3.66,False,False,False,False,False,0,14,7.34,0,False,False,24.9,0,,False,False,False,41.83,Building Products,False,13.9,0,False,FBHS
Value,False,False,False,10.54,False,False,False,False,False,0,27,5.45,0,False,False,34.5,4,LEAD_PERF,False,False,False,75.88,Diversified Metals,False,18.5,0,False,FCX
Value,False,False,False,10.88,False,False,False,False,False,0,105,6.44,0,False,False,20.15,0,,False,False,False,24.55,Software & Services,False,2.84,0,False,FDS
Value,False,False,False,9.32,False,False,False,False,False,0,46,5.84,0,False,False,20.45,2,,False,False,False,25.56,Transportation,False,5.29,0,False,FDX
Value,False,False,False,9.63,False,False,False,False,False,0,107,7.06,0,False,False,34.08,3,LEAD_PERF,True,False,False,74.51,Utilities,False,17.39,0,False,FE
Value,False,False,False,12.49,False,False,False,False,False,0,105,5.47,0,False,False,19.23,1,LAG_PERF,False,False,False,21.51,Software & Services,False,1.26,0,False,FFIV
Value,False,False,False,11.14,False,False,False,False,False,0,105,5.83,0,False,False,18.23,1,LAG_PERF,False,False,False,18.49,Software & Services,False,1.27,0,False,FIS
